Forager_Word,Original Found,ReplFound,Close Matches in S2V
aardvark,FALSE,FALSE,No close match found
aardwolf,FALSE,FALSE,No close match found
abalone,FALSE,FALSE,No close match found
abeja,FALSE,FALSE,No close match found
addax,FALSE,FALSE,No close match found
adder,TRUE,TRUE,"adder, sadder, madder"
adelgid,FALSE,FALSE,No close match found
adelie penguin,FALSE,FALSE,No close match found
aedes aegypti,FALSE,FALSE,No close match found
affenpinscher,FALSE,FALSE,No close match found
afghan hound,FALSE,FALSE,No close match found
african dog,FALSE,FALSE,No close match found
african elephant,FALSE,FALSE,No close match found
african wild dog,FALSE,FALSE,No close match found
agama,FALSE,FALSE,No close match found
agouti,FALSE,FALSE,No close match found
airedale terrier,FALSE,FALSE,No close match found
akita,FALSE,FALSE,No close match found
albacore,FALSE,FALSE,No close match found
albatross,TRUE,TRUE,"albatross, albatrosses"
albino python,FALSE,FALSE,No close match found
alga,FALSE,FALSE,No close match found
alligator,TRUE,TRUE,"alligator, alligators"
alligator lizard,FALSE,FALSE,No close match found
alligator snapping turtle,FALSE,FALSE,No close match found
allosaurus,FALSE,FALSE,No close match found
alpaca,TRUE,TRUE,alpaca
amberjack,FALSE,FALSE,No close match found
american toad,FALSE,FALSE,No close match found
amoeba,FALSE,FALSE,No close match found
amphibian,FALSE,FALSE,No close match found
amphioxus,FALSE,FALSE,No close match found
amphipod,FALSE,FALSE,No close match found
anaconda,FALSE,FALSE,No close match found
anchovy,TRUE,TRUE,anchovy
anemone,TRUE,TRUE,anemone
angelfish,FALSE,FALSE,No close match found
anglerfish,FALSE,FALSE,No close match found
angora goat,FALSE,FALSE,No close match found
angora rabbit,FALSE,FALSE,No close match found
anhinga,FALSE,FALSE,No close match found
ankylosaur,FALSE,FALSE,No close match found
annelid,FALSE,FALSE,No close match found
anole,FALSE,FALSE,No close match found
ant,TRUE,TRUE,ant
anteater,FALSE,FALSE,No close match found
antelope,TRUE,TRUE,"antelope, antelopes"
antelope squirrel,FALSE,FALSE,No close match found
anthropoid,FALSE,FALSE,No close match found
antlion,FALSE,FALSE,No close match found
apatosaurus,FALSE,FALSE,No close match found
ape,TRUE,TRUE,ape
aphid,FALSE,FALSE,No close match found
aplysia,FALSE,FALSE,No close match found
appaloosa,FALSE,FALSE,No close match found
apple maggot,FALSE,FALSE,No close match found
arachnid,FALSE,FALSE,No close match found
arapaima,FALSE,FALSE,No close match found
archaea,FALSE,FALSE,No close match found
archeopteryx,FALSE,FALSE,No close match found
archosaur,FALSE,FALSE,No close match found
arctic char,FALSE,FALSE,No close match found
arctic fox,FALSE,FALSE,No close match found
argali,FALSE,FALSE,No close match found
armadillo,FALSE,FALSE,No close match found
armyworm,FALSE,FALSE,No close match found
arrowhead dogfish,FALSE,FALSE,No close match found
arrowhead shark,FALSE,FALSE,No close match found
arthropod,FALSE,FALSE,No close match found
ascidians,FALSE,FALSE,No close match found
asian elephant,FALSE,FALSE,No close match found
asp,TRUE,TRUE,asp
ass,TRUE,TRUE,ass
assassin bug,FALSE,FALSE,No close match found
auk,FALSE,FALSE,No close match found
auklet,FALSE,FALSE,No close match found
auroch,FALSE,FALSE,No close match found
australopithecine,FALSE,FALSE,No close match found
avian,FALSE,FALSE,No close match found
avocet,FALSE,FALSE,No close match found
axolotl,FALSE,FALSE,No close match found
aye aye,FALSE,FALSE,No close match found
babirusa,FALSE,FALSE,No close match found
baboon,TRUE,TRUE,baboon
baby,TRUE,TRUE,baby
baca,FALSE,FALSE,No close match found
bacteria,FALSE,FALSE,No close match found
badger,TRUE,TRUE,"badger, badgers, badge"
bald eagle,FALSE,FALSE,No close match found
baleen whale,FALSE,FALSE,No close match found
banana slug,FALSE,FALSE,No close match found
bandicoot,FALSE,FALSE,No close match found
bantam,TRUE,TRUE,"bantam, banta"
bark beetle,FALSE,FALSE,No close match found
barn owl,FALSE,FALSE,No close match found
barnacle,FALSE,FALSE,No close match found
barnacle goose,FALSE,FALSE,No close match found
barracuda,FALSE,FALSE,No close match found
barramundi,FALSE,FALSE,No close match found
barred owl,FALSE,FALSE,No close match found
basenji,FALSE,FALSE,No close match found
basilisk,TRUE,TRUE,basilisk
basking shark,FALSE,FALSE,No close match found
bass,TRUE,TRUE,bass
basset hound,FALSE,FALSE,No close match found
bat,TRUE,TRUE,bat
batfish,FALSE,FALSE,No close match found
bay scallop,FALSE,FALSE,No close match found
baya,FALSE,FALSE,No close match found
beaded lizard,FALSE,FALSE,No close match found
beagle,TRUE,TRUE,"beagle, eagle, beale"
beaked whale,FALSE,FALSE,No close match found
bear,TRUE,TRUE,bear
bear cub,FALSE,FALSE,No close match found
bearcat,FALSE,FALSE,No close match found
bearded dragon,FALSE,FALSE,No close match found
bearded vulture,FALSE,FALSE,No close match found
beaver,TRUE,TRUE,"beaver, beavers"
bedbug,FALSE,FALSE,No close match found
bee,TRUE,TRUE,bee
bee eater,FALSE,FALSE,No close match found
bee moth,FALSE,FALSE,No close match found
beef cattle,FALSE,FALSE,No close match found
beefalo,FALSE,FALSE,No close match found
beet armyworm,FALSE,FALSE,No close match found
beetle,TRUE,TRUE,"beetle, beetles"
bellbird,FALSE,FALSE,No close match found
belted kingfisher,FALSE,FALSE,No close match found
beluga,FALSE,FALSE,No close match found
beluga whale,FALSE,FALSE,No close match found
bengal tiger,FALSE,FALSE,No close match found
bernese mountain dog,FALSE,FALSE,No close match found
bessbug,FALSE,FALSE,No close match found
beta fish,FALSE,FALSE,No close match found
betta,FALSE,FALSE,No close match found
betta fish,FALSE,FALSE,No close match found
bettong,FALSE,FALSE,No close match found
bichon,FALSE,FALSE,No close match found
bigeye,FALSE,FALSE,No close match found
bighorn,FALSE,FALSE,No close match found
bighorn sheep,FALSE,FALSE,No close match found
bilbies,FALSE,FALSE,No close match found
bilby,FALSE,FALSE,No close match found
billfish,FALSE,FALSE,No close match found
billy goat,FALSE,FALSE,No close match found
binturong,FALSE,FALSE,No close match found
bird,TRUE,TRUE,bird
bison,TRUE,TRUE,bison
biting midge,FALSE,FALSE,No close match found
bittern,TRUE,TRUE,"bittern, bitter, bitten"
bivalve,FALSE,FALSE,No close match found
black bear,FALSE,TRUE,blackbeard
black headed gull,FALSE,FALSE,No close match found
black lab,FALSE,FALSE,No close match found
black labrador,FALSE,FALSE,No close match found
black mamba,FALSE,FALSE,No close match found
black panther,FALSE,FALSE,No close match found
black squirrel,FALSE,FALSE,No close match found
black widow,FALSE,FALSE,No close match found
black-capped chickadee,FALSE,FALSE,No close match found
blackbird,TRUE,TRUE,"blackbird, blackbirds"
blackbuck,FALSE,FALSE,No close match found
blackcap,FALSE,FALSE,No close match found
blackfish,FALSE,TRUE,blackish
blackfly,FALSE,FALSE,No close match found
blackpoll,FALSE,FALSE,No close match found
blacktail,FALSE,FALSE,No close match found
blacktail deer,FALSE,FALSE,No close match found
blacktip reef shark,FALSE,FALSE,No close match found
blacktip shark,FALSE,FALSE,No close match found
blenny,FALSE,TRUE,benny
blister beetle,FALSE,FALSE,No close match found
blobfish,FALSE,FALSE,No close match found
bloodhound,FALSE,TRUE,bloodhounds
bloodworm,FALSE,FALSE,No close match found
blowfish,FALSE,FALSE,No close match found
blowfly,FALSE,FALSE,No close match found
blubber fish,FALSE,FALSE,No close match found
blue catfish,FALSE,FALSE,No close match found
blue heron,FALSE,FALSE,No close match found
blue jay,FALSE,FALSE,No close match found
blue marlin,FALSE,FALSE,No close match found
blue shark,FALSE,FALSE,No close match found
blue whale,FALSE,FALSE,No close match found
bluebill,FALSE,FALSE,No close match found
bluebird,TRUE,TRUE,bluebird
bluefin,FALSE,FALSE,No close match found
bluefin tuna,FALSE,FALSE,No close match found
bluefish,FALSE,FALSE,No close match found
bluefooted booby,FALSE,FALSE,No close match found
bluegill,FALSE,FALSE,No close match found
bluetick,FALSE,FALSE,No close match found
boa,TRUE,TRUE,boa
boa constrictor,FALSE,FALSE,No close match found
boar,TRUE,TRUE,boar
bobcat,FALSE,FALSE,No close match found
bobolink,FALSE,FALSE,No close match found
bobtail,FALSE,FALSE,No close match found
bobwhite,FALSE,FALSE,No close match found
bobwhite quail,FALSE,FALSE,No close match found
boll weevil,FALSE,FALSE,No close match found
bollworm,FALSE,FALSE,No close match found
bolognese,FALSE,FALSE,No close match found
bombardier beetle,FALSE,FALSE,No close match found
bonefish,FALSE,FALSE,No close match found
bongo,FALSE,FALSE,No close match found
bonito,FALSE,FALSE,No close match found
bonnethead,FALSE,FALSE,No close match found
bonobo,FALSE,FALSE,No close match found
bony fish,FALSE,FALSE,No close match found
booby,TRUE,TRUE,booby
border collie,FALSE,FALSE,No close match found
borzoi,FALSE,FALSE,No close match found
boston terrier,FALSE,FALSE,No close match found
botfly,FALSE,FALSE,No close match found
boto,FALSE,FALSE,No close match found
bottlenose,FALSE,FALSE,No close match found
bottlenose dolphin,FALSE,FALSE,No close match found
bottlenose whale,FALSE,FALSE,No close match found
bovine,FALSE,FALSE,No close match found
bowerbird,FALSE,FALSE,No close match found
bowfin,FALSE,FALSE,No close match found
bowhead,FALSE,FALSE,No close match found
bowhead whale,FALSE,FALSE,No close match found
box turtle,FALSE,FALSE,No close match found
boxelder bug,FALSE,FALSE,No close match found
boxer,TRUE,TRUE,boxer
boxfish,FALSE,FALSE,No close match found
brachiopod,FALSE,FALSE,No close match found
brachiosaurus,FALSE,FALSE,No close match found
bream,FALSE,FALSE,No close match found
brimfish,FALSE,FALSE,No close match found
brine shrimp,FALSE,FALSE,No close match found
broadbill,FALSE,FALSE,No close match found
broadtail,FALSE,FALSE,No close match found
bronc,FALSE,FALSE,No close match found
bronco,FALSE,TRUE,broncho
brontosaurus,FALSE,FALSE,No close match found
broodmare,FALSE,FALSE,No close match found
broody hen,FALSE,FALSE,No close match found
brook trout,FALSE,FALSE,No close match found
brown bear,FALSE,FALSE,No close match found
brown bullhead,FALSE,FALSE,No close match found
brown creeper,FALSE,FALSE,No close match found
brown hyena,FALSE,FALSE,No close match found
brown recluse,FALSE,FALSE,No close match found
brown recluse spider,FALSE,FALSE,No close match found
brown thrasher,FALSE,FALSE,No close match found
brown trout,FALSE,FALSE,No close match found
bruin,TRUE,TRUE,bruin
bryozoan,FALSE,FALSE,No close match found
buck,TRUE,TRUE,buck
bucking bronco,FALSE,FALSE,No close match found
budgerigar,FALSE,FALSE,No close match found
budgie,FALSE,TRUE,budge
buffalo,TRUE,TRUE,buffalo
bufflehead,FALSE,FALSE,No close match found
bufo,FALSE,FALSE,No close match found
bug,TRUE,TRUE,bug
bulbul,FALSE,FALSE,No close match found
bull,TRUE,TRUE,bull
bull mastiff,FALSE,FALSE,No close match found
bull shark,FALSE,FALSE,No close match found
bull snake,FALSE,FALSE,No close match found
bull terrier,FALSE,FALSE,No close match found
bulldog,TRUE,TRUE,bulldog
bullfinch,FALSE,FALSE,No close match found
bullfrog,TRUE,TRUE,bullfrog
bullhead,FALSE,FALSE,No close match found
bullhead catfish,FALSE,FALSE,No close match found
bullmastiff,FALSE,FALSE,No close match found
bullock,TRUE,TRUE,"bullock, bullocks"
bullsnake,FALSE,FALSE,No close match found
bumblebee,TRUE,TRUE,bumblebee
bunny,TRUE,TRUE,bunny
bunny rabbit,FALSE,FALSE,No close match found
bunting,TRUE,TRUE,bunting
burbot,FALSE,FALSE,No close match found
burmese mountain dog,FALSE,FALSE,No close match found
burro,FALSE,TRUE,"burrow, burros"
bush squirrel,FALSE,FALSE,No close match found
bushbaby,FALSE,FALSE,No close match found
bushbuck,FALSE,FALSE,No close match found
bushmaster,FALSE,FALSE,No close match found
bustard,FALSE,FALSE,No close match found
butterfish,FALSE,FALSE,No close match found
butterflies,TRUE,TRUE,butterflies
butterfly,TRUE,TRUE,"butterfly, butterfly's"
butterflyfish,FALSE,FALSE,No close match found
buzzard,TRUE,TRUE,buzzard
cactus wren,FALSE,FALSE,No close match found
caddis fly,FALSE,FALSE,No close match found
caecilian,FALSE,FALSE,No close match found
caiman,FALSE,FALSE,No close match found
cairn terrier,FALSE,FALSE,No close match found
calf,TRUE,TRUE,calf
calico cat,FALSE,FALSE,No close match found
camel,TRUE,TRUE,"camel, camels"
cameo,TRUE,TRUE,cameo
canary,TRUE,TRUE,canary
canebrake rattlesnake,FALSE,FALSE,No close match found
canine,TRUE,TRUE,canine
canis lupus,FALSE,FALSE,No close match found
cankerworm,FALSE,FALSE,No close match found
canvasback,FALSE,FALSE,No close match found
canvasback duck,FALSE,FALSE,No close match found
cape buffalo,FALSE,FALSE,No close match found
capelin,FALSE,TRUE,caplin
capercaillie,FALSE,FALSE,No close match found
capibara,FALSE,FALSE,No close match found
caplin,TRUE,TRUE,"caplin, chaplin"
capon,FALSE,TRUE,"capron, capons"
capuchin,FALSE,FALSE,No close match found
capuchin monkey,FALSE,FALSE,No close match found
capybara,FALSE,FALSE,No close match found
carabao,FALSE,FALSE,No close match found
caracal,FALSE,FALSE,No close match found
caracara,FALSE,FALSE,No close match found
cardinal,TRUE,TRUE,"cardinal, cardinals"
caribou,TRUE,TRUE,caribou
carp,TRUE,TRUE,carp
carpenter ant,FALSE,FALSE,No close match found
carpenter bee,FALSE,FALSE,No close match found
carpet beetle,FALSE,FALSE,No close match found
carrier pigeon,FALSE,FALSE,No close match found
carrion crow,FALSE,FALSE,No close match found
carthorse,FALSE,FALSE,No close match found
cartilaginous fish,FALSE,FALSE,No close match found
cassowary,FALSE,FALSE,No close match found
cat,TRUE,TRUE,cat
catamount,FALSE,FALSE,No close match found
catbird,FALSE,FALSE,No close match found
caterpillar,TRUE,TRUE,"caterpillar, caterpillars"
catfish,FALSE,FALSE,No close match found
cattle,TRUE,TRUE,cattle
cattle egret,FALSE,FALSE,No close match found
cavalier king charles spaniel,FALSE,FALSE,No close match found
cavy,FALSE,FALSE,No close match found
cayote,FALSE,FALSE,No close match found
cedar waxwing,FALSE,FALSE,No close match found
centipede,TRUE,TRUE,"centipede, centipedes"
cephalopod,FALSE,FALSE,No close match found
ceratopsian,FALSE,FALSE,No close match found
cervid,FALSE,FALSE,No close match found
cetacean,FALSE,TRUE,cetaceans
chachalaca,FALSE,FALSE,No close match found
chaffinch,TRUE,TRUE,chaffinch
chain pickerel,FALSE,FALSE,No close match found
chambered nautilus,FALSE,FALSE,No close match found
chameleon,TRUE,TRUE,chameleon
chamois,TRUE,TRUE,chamois
channel catfish,FALSE,FALSE,No close match found
char,TRUE,TRUE,char
charolais,FALSE,FALSE,No close match found
cheep,FALSE,FALSE,No close match found
cheetah,FALSE,FALSE,No close match found
chetah,FALSE,FALSE,No close match found
chewbacca,FALSE,FALSE,No close match found
chick,TRUE,TRUE,"chick, chicks"
chickadee,TRUE,TRUE,chickadee
chicken,TRUE,TRUE,"chicken, chickens"
chigger,FALSE,FALSE,No close match found
chihuahua,FALSE,FALSE,No close match found
chimaera,TRUE,TRUE,"chimaera, chimera"
chimp,FALSE,FALSE,No close match found
chimpanzee,FALSE,FALSE,No close match found
chinch bug,FALSE,FALSE,No close match found
chinchilla,FALSE,FALSE,No close match found
chinook,TRUE,TRUE,chinook
chinook salmon,FALSE,FALSE,No close match found
chipmunk,TRUE,TRUE,"chipmunk, chipmunks"
chipping sparrow,FALSE,FALSE,No close match found
chocolate labrador,FALSE,FALSE,No close match found
chough,FALSE,TRUE,cough
chow chow,FALSE,FALSE,No close match found
christmas tree worm,FALSE,FALSE,No close match found
chub,FALSE,FALSE,No close match found
chum salmon,FALSE,FALSE,No close match found
cicada,FALSE,FALSE,No close match found
cicada killer,FALSE,FALSE,No close match found
cichlid,FALSE,FALSE,No close match found
cichlid fish,FALSE,FALSE,No close match found
civet,FALSE,FALSE,No close match found
civet cat,FALSE,FALSE,No close match found
clam,TRUE,TRUE,clam
cleaner shrimp,FALSE,FALSE,No close match found
clown fish,FALSE,FALSE,No close match found
clownfish,FALSE,FALSE,No close match found
clydesdale,FALSE,FALSE,No close match found
coati,FALSE,FALSE,No close match found
coatimundi,FALSE,FALSE,No close match found
cobia,FALSE,FALSE,No close match found
cobra,TRUE,TRUE,cobra
cochineal,TRUE,TRUE,cochineal
cock,TRUE,TRUE,cock
cockatiel,FALSE,FALSE,No close match found
cockatoo,FALSE,FALSE,No close match found
cocker,FALSE,TRUE,"crocker, cocke"
cocker spaniel,FALSE,FALSE,No close match found
cockerel,FALSE,FALSE,No close match found
cockle,TRUE,TRUE,"cockle, cocke"
cockroach,FALSE,FALSE,No close match found
cockroaches,FALSE,FALSE,No close match found
cod,TRUE,TRUE,cod
codfish,TRUE,TRUE,codfish
codling,FALSE,TRUE,coddling
codling moth,FALSE,FALSE,No close match found
coelacanth,FALSE,FALSE,No close match found
coho,FALSE,FALSE,No close match found
coho salmon,FALSE,FALSE,No close match found
collared lizard,FALSE,FALSE,No close match found
collared peccary,FALSE,FALSE,No close match found
collie,TRUE,TRUE,collie
colobus,FALSE,FALSE,No close match found
colobus monkey,FALSE,FALSE,No close match found
colt,TRUE,TRUE,colt
colugo,FALSE,FALSE,No close match found
comb jelly,FALSE,FALSE,No close match found
common murre,FALSE,FALSE,No close match found
common scoter,FALSE,FALSE,No close match found
common yellowthroat,FALSE,FALSE,No close match found
conch,FALSE,FALSE,No close match found
condor,FALSE,FALSE,No close match found
coney,TRUE,TRUE,"coney, corney, convey"
conger,FALSE,FALSE,No close match found
conger eel,FALSE,FALSE,No close match found
constrictor,FALSE,FALSE,No close match found
conure,FALSE,TRUE,conjure
coonhound,FALSE,FALSE,No close match found
coot,FALSE,FALSE,No close match found
cooter,FALSE,FALSE,No close match found
copepod,FALSE,FALSE,No close match found
copperhead,FALSE,FALSE,No close match found
copperhead snake,FALSE,FALSE,No close match found
coq,FALSE,FALSE,No close match found
coral,TRUE,TRUE,"coral, corral, corals"
coral reef snake,FALSE,FALSE,No close match found
coral snake,FALSE,FALSE,No close match found
corbina,FALSE,FALSE,No close match found
corgi,FALSE,FALSE,No close match found
cormorant,FALSE,FALSE,No close match found
corn borer,FALSE,FALSE,No close match found
corn borer moth,FALSE,FALSE,No close match found
corn earworm,FALSE,FALSE,No close match found
corn snake,FALSE,FALSE,No close match found
corncrake,FALSE,FALSE,No close match found
cornish game hen,FALSE,FALSE,No close match found
corydoras,FALSE,FALSE,No close match found
cotton bollworm,FALSE,FALSE,No close match found
cottonmouth,FALSE,FALSE,No close match found
cottonmouth moccasin,FALSE,FALSE,No close match found
cottontail,FALSE,FALSE,No close match found
cottontail rabbit,FALSE,FALSE,No close match found
cougar,TRUE,TRUE,cougar
courser,TRUE,TRUE,"courser, coursers, course"
cow,TRUE,TRUE,cow
cowbird,FALSE,FALSE,No close match found
cownose ray,FALSE,FALSE,No close match found
cowrie,FALSE,FALSE,No close match found
cowry,FALSE,FALSE,No close match found
cows,TRUE,TRUE,cows
coyote,TRUE,TRUE,"coyote, coyotes"
coypu,FALSE,FALSE,No close match found
crab,TRUE,TRUE,crab
crane,TRUE,TRUE,"crane, cranes, craned"
cranefly,FALSE,FALSE,No close match found
crappie,FALSE,FALSE,No close match found
crawdad,FALSE,FALSE,No close match found
crawfish,TRUE,TRUE,crawfish
crawler,FALSE,FALSE,No close match found
crayfish,TRUE,TRUE,crayfish
crevalle jack,FALSE,FALSE,No close match found
cricket,TRUE,TRUE,"cricket, crickets"
crinoid,FALSE,FALSE,No close match found
croaker,FALSE,FALSE,No close match found
croc,FALSE,FALSE,No close match found
crocodile,TRUE,TRUE,"crocodile, crocodiles, crocodile's"
crossbill,FALSE,FALSE,No close match found
crow,TRUE,TRUE,crow
crucian carp,FALSE,FALSE,No close match found
crustacean,FALSE,TRUE,crustaceans
cub,TRUE,TRUE,cub
cuckoo,TRUE,TRUE,cuckoo
culex pipiens,FALSE,FALSE,No close match found
curlew,TRUE,TRUE,curlew
cuscus,FALSE,FALSE,No close match found
cusk,FALSE,FALSE,No close match found
cuttlefish,TRUE,TRUE,cuttlefish
cutworm,FALSE,FALSE,No close match found
cygnet,FALSE,FALSE,No close match found
dace,FALSE,FALSE,No close match found
dachshund,FALSE,FALSE,No close match found
daddy longlegs,FALSE,FALSE,No close match found
dairy cattle,FALSE,FALSE,No close match found
dairy cow,FALSE,FALSE,No close match found
dall sheep,FALSE,FALSE,No close match found
dalmatian,FALSE,TRUE,dalmatia
damsel fish,FALSE,FALSE,No close match found
damselfish,FALSE,FALSE,No close match found
damselfly,FALSE,FALSE,No close match found
daphnia,FALSE,FALSE,No close match found
darkling beetle,FALSE,FALSE,No close match found
darning needle,FALSE,FALSE,No close match found
darter,FALSE,TRUE,"darters, arter"
darwin frog,FALSE,FALSE,No close match found
daschund,FALSE,FALSE,No close match found
dear,TRUE,TRUE,dear
decapod,FALSE,FALSE,No close match found
deer,TRUE,TRUE,deer
deerhound,TRUE,TRUE,deerhound
degu,FALSE,FALSE,No close match found
desert tortoise,FALSE,FALSE,No close match found
devil,TRUE,TRUE,"devil, devils"
devon rex,FALSE,FALSE,No close match found
diamondback,FALSE,FALSE,No close match found
diamondback rattlesnake,FALSE,FALSE,No close match found
diamondback terrapin,FALSE,FALSE,No close match found
dik-dik,FALSE,FALSE,No close match found
dingo,FALSE,FALSE,No close match found
