ForagerWord,Result
prairie dog,IN AZ
prairie grouse,NOT IN AZ
prairie rattlesnake,IN AZ
prairie vole,NOT IN AZ
prawn,IN AZ
praying mantis,IN AZ
primate,NOT IN AZ
proboscis monkey,IN AZ
pronghorn,IN AZ
pronghorn antelope,NOT IN AZ
protists,NOT IN AZ
psyllid,NOT IN AZ
ptarmigan,NOT IN AZ
pterodactyl,IN AZ
pterosaur,NOT IN AZ
pubic louse,NOT IN AZ
puff adder,IN AZ
puffer,NOT IN AZ
puffer fish,NOT IN AZ
pufferfish,IN AZ
puffin,IN AZ
pug,IN AZ
puggle,IN AZ
pullet,NOT IN AZ
puma,IN AZ
pumpkinseed,NOT IN AZ
pup,NOT IN AZ
pupa,NOT IN AZ
puppy,NOT IN AZ
purple finch,IN AZ
purple gallinule,IN AZ
purple marten,NOT IN AZ
puss,NOT IN AZ
pussycat,NOT IN AZ
pygmy chimpanzee,NOT IN AZ
pygmy elephant,NOT IN AZ
pygmy goat,NOT IN AZ
pygmy marmoset,NOT IN AZ
pygmy sperm whale,NOT IN AZ
python,IN AZ
quagga,IN AZ
quahog,NOT IN AZ
quail,IN AZ
queen bee,NOT IN AZ
queenfish,NOT IN AZ
quetzal,IN AZ
quokka,IN AZ
rabbit,IN AZ
raccoon,IN AZ
raccoon fox,NOT IN AZ
racehorse,NOT IN AZ
racoon,NOT IN AZ
ragdoll cat,NOT IN AZ
rainbow lorikeet,NOT IN AZ
rainbow smelt,NOT IN AZ
rainbow trout,NOT IN AZ
rainbowfish,NOT IN AZ
ram,NOT IN AZ
raptor,NOT IN AZ
rat,IN AZ
rat snake,NOT IN AZ
rat terrier,IN AZ
ratite,NOT IN AZ
raton,NOT IN AZ
rattler,NOT IN AZ
rattlesnake,IN AZ
raven,NOT IN AZ
ray,NOT IN AZ
razor clam,NOT IN AZ
razorback,NOT IN AZ
razorbill,NOT IN AZ
red admiral butterfly,NOT IN AZ
red bellied woodpecker,NOT IN AZ
red deer,IN AZ
red drum,NOT IN AZ
red fox,IN AZ
red kangaroo,NOT IN AZ
red panda,IN AZ
red robin,NOT IN AZ
red shouldered hawk,NOT IN AZ
red snapper,NOT IN AZ
red squirrel,IN AZ
red tailed hawk,NOT IN AZ
red winged blackbird,NOT IN AZ
redbird,NOT IN AZ
redbone,NOT IN AZ
redbreast,NOT IN AZ
redbug,NOT IN AZ
redear,NOT IN AZ
redfish,NOT IN AZ
redheaded woodpecker,NOT IN AZ
redhorse,NOT IN AZ
redhorse sucker,NOT IN AZ
redpoll,NOT IN AZ
redshank,NOT IN AZ
redstart,IN AZ
redtail,NOT IN AZ
redtail hawk,NOT IN AZ
redwing,NOT IN AZ
reed bunting,NOT IN AZ
reef shark,IN AZ
reindeer,IN AZ
remora,NOT IN AZ
reptile,NOT IN AZ
reticulated python,IN AZ
retriever,NOT IN AZ
rhea,IN AZ
rhesus macaque,IN AZ
rhesus monkey,NOT IN AZ
rhino,NOT IN AZ
rhinoceros,IN AZ
rhinoceros beetle,NOT IN AZ
ribbonfish,NOT IN AZ
right whale,NOT IN AZ
ring-tailed lemur,NOT IN AZ
ringtail,NOT IN AZ
ringtail cat,NOT IN AZ
river otter,IN AZ
river rat,NOT IN AZ
roach,NOT IN AZ
roadrunner,IN AZ
robin,IN AZ
robin redbreast,NOT IN AZ
rock hyrax,IN AZ
rockfish,IN AZ
rockhead,NOT IN AZ
rodent,NOT IN AZ
roe,NOT IN AZ
roe deer,IN AZ
roly-poly,NOT IN AZ
rook,NOT IN AZ
rooster,IN AZ
roseate spoonbill,IN AZ
roseate tern,NOT IN AZ
rotifer,NOT IN AZ
rottweiler,IN AZ
roundworm,NOT IN AZ
rudd,NOT IN AZ
ruddy duck,IN AZ
ruddy turnstone,IN AZ
ruffed grouse,NOT IN AZ
ruminant,NOT IN AZ
russian blue,IN AZ
rusty blackbird,NOT IN AZ
saber tooth,NOT IN AZ
sabertoothed cat,NOT IN AZ
sabertoothed tiger,NOT IN AZ
sable,IN AZ
sable antelope,NOT IN AZ
sacred ibis,NOT IN AZ
sage grouse,NOT IN AZ
saiga,IN AZ
sailfish,IN AZ
saint bernard,IN AZ
saki monkey,NOT IN AZ
salamander,IN AZ
salmon,IN AZ
salmonid,NOT IN AZ
saltwater crocodile,NOT IN AZ
saltwater fish,NOT IN AZ
saluki,IN AZ
sand cat,IN AZ
sand crab,IN AZ
sand dab,NOT IN AZ
sand dollar,IN AZ
sand lance,NOT IN AZ
sand shark,NOT IN AZ
sand tiger shark,IN AZ
sandbar shark,NOT IN AZ
sandfish,NOT IN AZ
sandfly,NOT IN AZ
sandhill crane,IN AZ
sandpiper,IN AZ
sapsucker,NOT IN AZ
sardine,NOT IN AZ
sauropod,NOT IN AZ
sauropod dinosaur,NOT IN AZ
saury,NOT IN AZ
savannah cat,NOT IN AZ
sawfish,IN AZ
sawfly,NOT IN AZ
scallop,NOT IN AZ
scaly anteater,NOT IN AZ
scarab,NOT IN AZ
scarlet macaw,IN AZ
scarlet tanager,IN AZ
scaup,NOT IN AZ
schipperke,IN AZ
schistosome,NOT IN AZ
schnauzer,NOT IN AZ
scorpion,IN AZ
scorpionfish,NOT IN AZ
scoter,NOT IN AZ
scottish fold,NOT IN AZ
scottish shetland,NOT IN AZ
screech owl,NOT IN AZ
scrod,NOT IN AZ
scrub jay,NOT IN AZ
sculpin,IN AZ
scup,NOT IN AZ
sea anemone,IN AZ
sea bass,IN AZ
sea bear,NOT IN AZ
sea bream,NOT IN AZ
sea cow,NOT IN AZ
sea cucumber,NOT IN AZ
sea lamprey,NOT IN AZ
sea lion,IN AZ
sea lions,NOT IN AZ
sea monkey,NOT IN AZ
sea otter,IN AZ
sea otters,NOT IN AZ
sea ray,NOT IN AZ
sea scorpion,NOT IN AZ
sea slug,IN AZ
sea slug aplysia,NOT IN AZ
sea snake,IN AZ
sea sponge,NOT IN AZ
sea squirt,IN AZ
sea star,NOT IN AZ
sea turtle,IN AZ
sea urchin,IN AZ
seabird,NOT IN AZ
seagull,IN AZ
seahawk,NOT IN AZ
seahorse,IN AZ
seal,IN AZ
sealion,NOT IN AZ
sedge wren,NOT IN AZ
sei whale,IN AZ
serow,NOT IN AZ
serpent,NOT IN AZ
serval,IN AZ
shad,NOT IN AZ
shar pei,NOT IN AZ
shark,IN AZ
shearwater,NOT IN AZ
sheep,IN AZ
sheepdog,NOT IN AZ
sheepshead,NOT IN AZ
shelduck,NOT IN AZ
shellfish,NOT IN AZ
shepherd,NOT IN AZ
shetland pony,NOT IN AZ
shetland sheepdog,IN AZ
shih tzu,IN AZ
shipworm,NOT IN AZ
shorebird,NOT IN AZ
shortfin mako,NOT IN AZ
shorthorn,NOT IN AZ
shoveler,NOT IN AZ
shrew,IN AZ
shrike,NOT IN AZ
shrimp,IN AZ
siamang,NOT IN AZ
siamese cat,NOT IN AZ
siberian blue robin,NOT IN AZ
siberian cat,NOT IN AZ
siberian husky,IN AZ
siberian tiger,IN AZ
sidewinder,IN AZ
sika,NOT IN AZ
silkworm,NOT IN AZ
silkworm moth,NOT IN AZ
silky terrier,IN AZ
silverback,NOT IN AZ
silverback gorilla,NOT IN AZ
silverfish,NOT IN AZ
silvertip,NOT IN AZ
siphonophore,NOT IN AZ
siskin,NOT IN AZ
skate,NOT IN AZ
skink,NOT IN AZ
skipjack,NOT IN AZ
skipjack tuna,IN AZ
skua,IN AZ
skunk,IN AZ
skylark,NOT IN AZ
sled dog,NOT IN AZ
slender loris,NOT IN AZ
slime eels,NOT IN AZ
sloth,IN AZ
sloth bear,NOT IN AZ
slow loris,NOT IN AZ
slug,IN AZ
smallmouth,NOT IN AZ
smallmouth bass,IN AZ
smalltooth sawfish,NOT IN AZ
smelt,NOT IN AZ
smooth dogfish,NOT IN AZ
smooth hammerhead,NOT IN AZ
snail,IN AZ
snail darter,NOT IN AZ
snailfish,IN AZ
snake,IN AZ
snapper,NOT IN AZ
snapping turtle,IN AZ
snipe,NOT IN AZ
snoek,NOT IN AZ
snook,NOT IN AZ
snow crab,IN AZ
snow goose,IN AZ
snow leopard,IN AZ
snow lion,NOT IN AZ
snow monkey,NOT IN AZ
snowbird,NOT IN AZ
snowshoe hare,IN AZ
snowy egret,NOT IN AZ
snowy owl,IN AZ
sockeye,NOT IN AZ
sockeye salmon,IN AZ
song thrush,IN AZ
songbird,NOT IN AZ
soupfin,NOT IN AZ
sow,NOT IN AZ
spadefish,NOT IN AZ
spadefoot,NOT IN AZ
spadefoot toad,IN AZ
spaniel,NOT IN AZ
spanish mackerel,IN AZ
sparrow,IN AZ
sparrow hawk,NOT IN AZ
spearfish,NOT IN AZ
speckled trout,IN AZ
spectacled caiman,NOT IN AZ
sperm whale,IN AZ
sphinx moth,NOT IN AZ
sphynx cat,NOT IN AZ
spider,IN AZ
spider crab,NOT IN AZ
spider mite,NOT IN AZ
spider monkey,IN AZ
spiny anteater,NOT IN AZ
spiny dogfish,IN AZ
spiny dogfish shark,NOT IN AZ
spiny lobster,NOT IN AZ
spitting cobra,IN AZ
spitz,NOT IN AZ
sponge,IN AZ
spoonbill,NOT IN AZ
spotted flycatcher,NOT IN AZ
spotted hyena,NOT IN AZ
spotted owl,NOT IN AZ
spotted salamander,NOT IN AZ
spotted sandpiper,NOT IN AZ
sprat,NOT IN AZ
spring peeper,NOT IN AZ
springbok,IN AZ
springer spaniel,NOT IN AZ
spruce bark beetle,NOT IN AZ
spruce grouse,NOT IN AZ
squab,NOT IN AZ
squid,IN AZ
squirrel,IN AZ
squirrel monkey,IN AZ
staffordshire bull terrier,IN AZ
staffordshire terrier,NOT IN AZ
stag,NOT IN AZ
stag beetle,IN AZ
staghorn coral,NOT IN AZ
stallion,NOT IN AZ
standard poodle,NOT IN AZ
star-nosed mole,IN AZ
starfish,IN AZ
stargazer,NOT IN AZ
starling,NOT IN AZ
steed,NOT IN AZ
steenbok,NOT IN AZ
steeplechase horse,NOT IN AZ
steer,NOT IN AZ
stegosaurus,NOT IN AZ
steller jay,NOT IN AZ
stick bug,NOT IN AZ
stick insect,IN AZ
stickleback,NOT IN AZ
stilt,NOT IN AZ
stingray,IN AZ
stinkbug,NOT IN AZ
stoat,IN AZ
stone curlew,NOT IN AZ
stone marten,NOT IN AZ
stonefish,IN AZ
stonefly,NOT IN AZ
stony coral,NOT IN AZ
stork,IN AZ
storm petrel,NOT IN AZ
stormy petrel,NOT IN AZ
striped bass,IN AZ
striped hyena,IN AZ
striped marlin,NOT IN AZ
striped mullet,NOT IN AZ
striped skunk,NOT IN AZ
striper,NOT IN AZ
sturgeon,IN AZ
suckerfish,IN AZ
suckermouth catfish,NOT IN AZ
sugar glider,IN AZ
summer tanager,IN AZ
sun bear,IN AZ
sun conure,NOT IN AZ
sunfish,NOT IN AZ
superbug,NOT IN AZ
surfperch,NOT IN AZ
surgeon fish,NOT IN AZ
surgeonfish,IN AZ
swallow,IN AZ
swallowtail,NOT IN AZ
swamp sparrow,NOT IN AZ
swan,IN AZ
swift,NOT IN AZ
swiftlet,NOT IN AZ
swine,NOT IN AZ
swordfish,IN AZ
swordtail,NOT IN AZ
t rex,NOT IN AZ
tabby,NOT IN AZ
tabby cat,NOT IN AZ
tadpole,NOT IN AZ
tadpole shrimp,NOT IN AZ
taipan,IN AZ
takahe,NOT IN AZ
takin,IN AZ
tamarin,IN AZ
tammar wallaby,NOT IN AZ
tanager,NOT IN AZ
tapeworm,NOT IN AZ
tapir,IN AZ
tarantula,IN AZ
tardigrade,NOT IN AZ
tarpon,IN AZ
tarsier,IN AZ
tasmanian devil,IN AZ
tautog,NOT IN AZ
tawny owl,IN AZ
teacup chihuahua,IN AZ
teleost,NOT IN AZ
teleost fish,NOT IN AZ
tench,NOT IN AZ
tent caterpillar,IN AZ
termite,IN AZ
tern,NOT IN AZ
terrapin,NOT IN AZ
terrier,IN AZ
tetra,IN AZ
tetrapod,NOT IN AZ
theropod,IN AZ
theropod dinosaur,NOT IN AZ
thorny devil,IN AZ
thoroughbred,NOT IN AZ
threadfin,NOT IN AZ
three toed sloth,NOT IN AZ
thresher shark,IN AZ
thrip,NOT IN AZ
thrush,IN AZ
thylacine,NOT IN AZ
tick,IN AZ
tiger,IN AZ
tiger beetle,IN AZ
tiger cub,NOT IN AZ
tiger moth,IN AZ
tiger rattlesnake,IN AZ
tiger salamander,IN AZ
tiger shark,IN AZ
tigon,NOT IN AZ
tigress,NOT IN AZ
tilapia,NOT IN AZ
tilefish,NOT IN AZ
timber rattlesnake,NOT IN AZ
timber wolf,NOT IN AZ
titanosaur,IN AZ
titi,NOT IN AZ
titi monkey,NOT IN AZ
titmouse,NOT IN AZ
toad,NOT IN AZ
toadfish,IN AZ
tobacco budworm,NOT IN AZ
tobacco hornworm,NOT IN AZ
tody,NOT IN AZ
tom turkey,NOT IN AZ
tomato hornworm,IN AZ
tomcat,NOT IN AZ
toothed whale,NOT IN AZ
tortes,NOT IN AZ
tortoise,IN AZ
tortoiseshell,NOT IN AZ
tortuga,NOT IN AZ
toucan,IN AZ
towhee,IN AZ
toy poodle,IN AZ
toy spaniel,NOT IN AZ
tragopan,NOT IN AZ
trapdoor spider,IN AZ
tree shrew,NOT IN AZ
treefrog,NOT IN AZ
trematode,NOT IN AZ
trepang,NOT IN AZ
triceratops,NOT IN AZ
triggerfish,IN AZ
trilobite,NOT IN AZ
tripletail,NOT IN AZ
trogon,NOT IN AZ
trotter,NOT IN AZ
trout,IN AZ
trumpeter,NOT IN AZ
trumpeter swan,NOT IN AZ
tsetse,NOT IN AZ
tsetse fly,IN AZ
tuatara,IN AZ
tubeworm,NOT IN AZ
tufted puffin,NOT IN AZ
tufted titmouse,IN AZ
tuna,IN AZ
tundra swan,IN AZ
tunicate,NOT IN AZ
tunny,NOT IN AZ
turbot,NOT IN AZ
turkey,IN AZ
turkey buzzard,NOT IN AZ
turkey vulture,IN AZ
turtle,NOT IN AZ
turtle dove,NOT IN AZ
turtledove,NOT IN AZ
tusker,NOT IN AZ
tussock moth,IN AZ
tyrannosaur,NOT IN AZ
tyrannosaurus,NOT IN AZ
tyrannosaurus rex,IN AZ
ungulate,NOT IN AZ
unicorn,NOT IN AZ
upland sandpiper,IN AZ
urchin,NOT IN AZ
vampire bat,IN AZ
vaquita,IN AZ
varmint,NOT IN AZ
veal,NOT IN AZ
veery,IN AZ
velociraptor,IN AZ
venomous lizard,NOT IN AZ
vermin,NOT IN AZ
vertebrate,NOT IN AZ
vervet monkey,IN AZ
vesper sparrow,NOT IN AZ
vicuna,NOT IN AZ
vinegarroon,NOT IN AZ
viper,IN AZ
vireo,NOT IN AZ
vizsla,IN AZ
vole,IN AZ
vulture,IN AZ
wagtail,NOT IN AZ
wahoo,NOT IN AZ
wallaby,IN AZ
wallaroo,NOT IN AZ
walleye,NOT IN AZ
walleyed pike,NOT IN AZ
walrus,IN AZ
wandering albatross,IN AZ
wapiti,NOT IN AZ
warbler,IN AZ
warthog,IN AZ
wasp,IN AZ
water bear,NOT IN AZ
water buffalo,IN AZ
water bug,IN AZ
water moccasin,NOT IN AZ
water snake,NOT IN AZ
waterbird,NOT IN AZ
waterbuck,IN AZ
waterfowl,NOT IN AZ
waxwing,NOT IN AZ
weakfish,NOT IN AZ
weasel,IN AZ
webworm,NOT IN AZ
weevil,NOT IN AZ
weimaraner,IN AZ
western lowland gorilla,IN AZ
western meadowlark,NOT IN AZ
western tanager,IN AZ
westie,NOT IN AZ
whale,NOT IN AZ
whale shark,IN AZ
wheatear,NOT IN AZ
whelk,NOT IN AZ
whelp,NOT IN AZ
whiff,NOT IN AZ
whippet,IN AZ
whippoorwill,NOT IN AZ
whipsnake,NOT IN AZ
whiptail,NOT IN AZ
whirligig beetle,NOT IN AZ
white marlin,IN AZ
white tailed deer,NOT IN AZ
white tiger,IN AZ
white wolf,NOT IN AZ
whitebait,NOT IN AZ
whitefish,NOT IN AZ
whitefly,NOT IN AZ
whitetail deer,IN AZ
whiting,IN AZ
whooper,NOT IN AZ
whooper swan,NOT IN AZ
whooping crane,IN AZ
widgeon,NOT IN AZ
widow spider,NOT IN AZ
wiener dog,NOT IN AZ
wigeon,NOT IN AZ
wiggler,NOT IN AZ
wild boar,IN AZ
wild dog,NOT IN AZ
wildcat,NOT IN AZ
wildebeest,IN AZ
willet,NOT IN AZ
winkle,NOT IN AZ
winter wren,NOT IN AZ
wireworm,NOT IN AZ
wolf,IN AZ
wolf cub,NOT IN AZ
wolf pup,NOT IN AZ
wolf spider,IN AZ
wolffish,IN AZ
wolfhound,NOT IN AZ
wolverine,IN AZ
wolves,NOT IN AZ
woman,NOT IN AZ
wombat,IN AZ
wood pewee,NOT IN AZ
wood stork,NOT IN AZ
wood thrush,NOT IN AZ
woodchuck,NOT IN AZ
woodcock,NOT IN AZ
woodcock snipe,NOT IN AZ
woodland caribou,NOT IN AZ
woodpecker,IN AZ
woodworm,NOT IN AZ
woolly adelgid,NOT IN AZ
woolly bear,NOT IN AZ
woolly mammoth,IN AZ
woolly monkey,IN AZ
woolly rhinoceros,IN AZ
worm,IN AZ
wrasse,IN AZ
wren,NOT IN AZ
wriggler,NOT IN AZ
xerus,IN AZ
yak,IN AZ
yearling,NOT IN AZ
yellow lab,NOT IN AZ
yellow labrador,NOT IN AZ
yellow perch,IN AZ
yellow warbler,NOT IN AZ
yellowfin,NOT IN AZ
yellowfin croaker,NOT IN AZ
yellowfin tuna,IN AZ
yellowhammer,IN AZ
yellowjacket,NOT IN AZ
yellowlegs,NOT IN AZ
yellowtail,NOT IN AZ
yellowtail flounder,NOT IN AZ
yellowtail snapper,IN AZ
yellowthroat,IN AZ
yorkie,NOT IN AZ
yorkshire terrier,IN AZ
zebra,IN AZ
zebra finch,IN AZ
zebra fish,NOT IN AZ
zebra mussel,NOT IN AZ
zebrafish,NOT IN AZ
zebu,IN AZ
zooplankton,NOT IN AZ
zorillo,NOT IN AZ
painted dog,NOT IN AZ
lightning bug,NOT IN AZ
flying fox,NOT IN AZ
tigerfish,NOT IN AZ
sifaka,NOT IN AZ
mockingjay,NOT IN AZ
sphynx,IN AZ
