,Subject,Semantic_Similarity_mean,Semantic_Similarity_std,Frequency_Value_mean,Frequency_Value_std,Phonological_Similarity_mean,Phonological_Similarity_std,#_of_Items,Group
0,CAF-657,0.3957021035170491,0.1079029065194033,6.204437075896552,0.7509666325991879,0.0471892857142857,0.0888080299142407,29,NH
1,CAJ-663,0.4386668160976221,0.1206866173032269,6.2116895477,0.6527215367054297,0.0713736842105263,0.1010372199962044,20,NH
2,CAM-666,0.4109852462882655,0.1338668163768101,6.24802347404,0.8103501418586209,0.062575,0.1190821464733301,25,NH
3,CAN-667,0.4288147694022404,0.1082548616191749,6.4747991439999995,0.6658900427199443,0.1056588235294117,0.1199086895246937,18,
4,CAP-671,0.421642757648088,0.0811037085785831,6.400540106421053,0.6379890409259468,0.0855833333333333,0.1299774969211299,19,NH
5,CAQ-672,0.420952492584663,0.1295127867705725,6.282200116545455,0.6806400309631595,0.0501333333333333,0.0840663329361601,22,NH
6,CAR-673,0.4484497471608233,0.1356480671530585,6.062672912045454,0.91051094922444,0.0653380952380952,0.103024276149801,22,NH
7,CAS-674,0.4531874322858777,0.1525362145644624,6.189105191380953,0.6781397955011375,0.069295,0.1049251034886564,21,NH
8,CAU-667,0.4461399660366564,0.1698013291903646,5.7859555635789475,0.9602532165706642,0.1366864864864864,0.2590537354833314,38,
9,CAV-678,0.4391706848978828,0.1092545112380473,6.034763460285714,0.7856048223267682,0.0645814814814814,0.1272584500354028,28,NH
10,CAY-681,0.4807882039001018,0.2156957410615407,6.126517431521739,0.8167082812621448,0.1501227272727272,0.2991117101906246,23,NH
11,CBD-686,0.4802439174048766,0.1599917344035101,6.27011491445,0.6252474625240261,0.0577157894736842,0.0943671274165008,20,NH
12,CBF-691,0.4231065960355539,0.1002672699908568,6.177411159368421,0.7228490801792612,0.0748055555555555,0.088845937192173,19,NH
13,CBH-693,0.4636711058678643,0.1499662598003381,6.19601535575,0.7821676310148881,0.1284304347826086,0.225672978272831,24,NH
14,CBJ-697,0.4277589686643291,0.0801482507442578,5.826351867695652,0.7821147731812111,0.1301545454545454,0.1797858480771809,23,NH
15,CBL-698,0.4286086964358642,0.1303234634175125,5.4280799137999995,1.2654620545376962,0.1451157894736842,0.2285868963464147,20,NH
16,CBM-702,0.4137822132651474,0.1236339195393817,5.921688713076923,0.7995139072024202,0.117364,0.1899538406209957,26,NH
17,CBP-707,0.4630055249512455,0.1093649070396453,6.311591571785714,0.7669282089267153,0.0680185185185185,0.1181257903092391,28,NH
18,CBS-711,0.4212857089368747,0.1365647625385825,6.053867835999999,0.8266808665935327,0.068191304347826,0.1173731923591795,24,NH
19,CBW-715,0.4724413702533598,0.1496302363861807,6.345069319166667,0.6155532110566789,0.0608588235294117,0.115413517724439,18,NH
20,CCB-720,0.4029876896015583,0.1120259238372333,6.131025735846153,0.7592786986597109,0.091725,0.1198165804659165,13,NH
21,CCC-721,0.4310504644084991,0.1195934679254368,6.458806783066667,0.735330472383128,0.059,0.1007247200580335,15,NH
22,CCD-722,0.4214575764391187,0.1128717175528452,6.1302326439999995,0.7252064636451153,0.0562821428571428,0.0892039405107504,29,NH
23,CCF-724,0.4594862916758083,0.1086305429224901,6.560672676352942,0.6192986664688706,0.0996249999999999,0.1861354435171693,17,NH
24,CCH-726,0.4367665555830834,0.1366891557614938,6.080797962782609,0.7762614704274011,0.0422545454545454,0.1031301661437194,23,NH
25,CCL-730,0.4508666725913072,0.1640768291974335,6.409215168208333,0.6218726131755894,0.0860086956521739,0.2451860127128779,24,NH
26,CCX-744,0.4167131042047378,0.0766290991247888,6.292619211,0.8171400752954094,0.1042647058823529,0.142123858575788,18,NH
27,CDG-753,0.4837344941991724,0.1685738025508615,5.897369521333334,0.6530632585030396,0.1009,0.2160871162706879,24,NH
28,CDH-754,0.4153338186706861,0.1864547912931149,5.57379054976923,1.2482677456975133,0.1359416666666666,0.1512532882187018,13,NH
29,CDM-759,0.4058643757864887,0.1241087135719582,6.13597715568421,0.8092625196675374,0.0961888888888888,0.1711205728646218,19,NH
30,CDR-764,0.4486776641538075,0.1148696168806476,6.030839118722223,0.7751002674527396,0.0466411764705882,0.0791289379653828,18,NH
31,CDU-767,0.4357678082178562,0.1154923874181331,6.426756722105263,0.6264496141091203,0.0361944444444444,0.0836376883258781,19,NH
32,SFZ-149,0.4073646707952917,0.1117872673742988,6.274464719684211,0.6644097368597432,0.0742777777777777,0.1198115066434898,19,
33,SGO-159,0.4395841730735789,0.1428368332984353,6.223831323861111,0.6470344104811384,0.0635057142857142,0.1004669478656805,36,CI
34,SIU-211,0.4313577297606567,0.1556954787108702,6.243519550708334,0.7822532810101457,0.1446739130434782,0.2315514790934312,24,CI
35,SIZ-390,0.4653040546952826,0.0954888580593556,6.129861695882353,0.7417834837823132,0.0729875,0.1173121129011549,17,CI
36,SKE-234,0.4409768441781534,0.0984845196453997,6.2102674681785714,0.7047911265324156,0.0686777777777777,0.0939818613159489,28,CI
37,SMK-401,0.4665782409966392,0.1486979972087426,6.293568212791667,0.6115344945018898,0.1434434782608695,0.256891527915236,24,CI
38,SNI-300,0.4304917195742009,0.094225323542135,5.977568231166667,0.7880018434172463,0.1081764705882352,0.0983248476315356,18,CI
39,SNR-308,0.4076633355982225,0.1097962312425116,6.298856504,0.7161808424474023,0.1108466666666666,0.1171676995145155,16,CI
40,SNT-310,0.4441998153486199,0.1064556416611772,6.258995999925926,0.7031284519708573,0.0969884615384615,0.1115137886610371,27,CI
41,SNV-312,0.4321352223659816,0.0888773104687128,6.471563332666666,0.6225762401653224,0.0601588235294117,0.1010695927246637,18,CI
42,SNY-315,0.4496110124200417,0.0907220163976095,6.414427431,0.6508392232828683,0.0772631578947368,0.1245807868659543,20,CI
43,SOA-317,0.4236951322550337,0.0882993163749278,6.1051507932857145,0.4977483906662405,0.0750666666666666,0.1172092260304907,7,
44,SOE-320,0.409124768909287,0.1104934623858258,6.491085106153847,0.7158762687218,0.0453166666666666,0.0829990671725601,13,CI
45,SOQ-329,0.4327026977584816,0.0903023558340321,6.266659298260869,0.7446197996718715,0.1381454545454545,0.1544473210462227,23,CI
46,SOX-335,0.4068570899838962,0.0806058280904441,5.8249202290909095,0.9359358780686666,0.1974199999999999,0.1752094670197171,11,CI
47,SPA-338,0.4181191694060246,0.1321116582517459,5.908670648411764,0.8833097735452181,0.07373125,0.1201227245708876,17,CI
48,SPC-340,0.4513655764627043,0.1218654240044693,6.377050766,0.7154079199380344,0.0953,0.1152331838780247,20,CI
49,SPH-344,0.4215088847737847,0.1136520187413757,6.5800971728999995,0.6880630833643725,0.0937111111111111,0.1153172303305586,10,CI
50,SPL-436,0.4574876730146558,0.162280867752606,6.509220750529412,0.7649633273411003,0.14796875,0.249262631826353,17,CI
51,SPV-450,0.4316130443931439,0.1188974333454608,6.349561488473684,0.6792671646571079,0.0358,0.0848358414822414,19,CI
52,SPX-452,0.4359815669537056,0.13486508974363,6.141085973681817,0.8047184730169583,0.0742714285714285,0.1034986818411574,22,CI
53,SRF-483,0.4326165829960005,0.0903177625810855,6.239245679625,1.2790210374995976,0.06658,0.1529154584356056,16,CI
54,SRR-498,0.4148988273828632,0.1326814060522645,6.485288561222222,0.6296459850459287,0.0510588235294117,0.1166883834129576,18,CI
55,SSG-520,0.4976977466506546,0.1745617661205046,6.319034457375,0.5846725810911143,0.14458,0.2573900381022656,16,CI
56,SSZ-539,0.4272171845897646,0.1009096209339837,6.5050435740833334,0.6758172826831677,0.0152454545454545,0.0502317900066554,12,CI
57,SUG-544,0.4571452337173151,0.1808724071095063,6.408309666266667,0.5895346313111507,0.1442785714285714,0.2668583697497504,15,CI
58,SUT-556,0.4499186085604118,0.0927971525957112,6.497641774,0.6571278551217631,0.0204999999999999,0.0518558949990629,15,CI
59,SUV-558,0.4326206237929911,0.1087041673217751,6.187707025421052,0.6311426334718261,0.0900111111111111,0.1164632478706272,19,CI
60,SVA-563,0.4795077105062144,0.1589280299560047,6.051193824428571,0.8405125428428527,0.125245,0.2435455938617524,21,CI
61,SVH-570,0.4840166658996931,0.088250998684877,6.045401214076923,0.7722815125661354,0.1036333333333333,0.1447316785913809,13,CI
62,SVY-587,0.4724328710975836,0.1222920293992262,6.024260706842106,0.6675803853471973,0.0429388888888888,0.0872042844258367,19,CI
63,SZA-781,0.4790088651540837,0.1352197519516143,6.275208235882353,0.578322447469635,0.0438312499999999,0.0993777488089428,17,CI
